# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
    0     95     63     74      0      0      0      0      0      0   1512   1410 
    0     95     63     74      0      0      0      0      0      0   1512   1410 
    0     95     63     74      0      0      0      0      0      0   1512   1410 
    0     95     63     74      0      0      0      0      0      0   1512   1410 
    0     95     63     74      0      0      0      0      0      0   1512   1410 
    0     95     63     74      0      0      0      0      0      0   1512   1410 
    0     95     63     74      0      0      0      0      0      0   1512   1410 
    0     95     63     74      0      0      0      0      0      0   1512   1410 
    0     95     63     74      0      0      0      0      0      0   1512   1410 
    0     96     63     75     19     17      0      0      0      0   1512   1410 
    0     95     63     74      0      0      0      0      0      0   1512   1410 
    0     95     63     73      0      0      0      0      0      0   1512   1410 
    0     96     63     73     16     16      0      0      0      0   1512   1410 
    0     95     63     73      0      0      0      0      0      0   1512   1410 
    0     96     63     73      0      0      0      0      0      0   1512   1410 
    0     96     64     74     18     16      0      0      0      0   1512   1410 
    0     96     63     73      0      0      0      0      0      0   1512   1410 
    0     96     63     73     12      0      0      0      0      0   1512   1410 
    0     96     63     73      0      0      0      0      0      0   1512   1410 
    0     96     63     73      0      0      0      0      0      0   1512   1410 
    0     96     63     73      0      0      0      0      0      0   1512   1410 
    0     96     63     73      0      0      0      0      0      0   1512   1410 
    0     96     63     73      0      0      0      0      0      0   1512   1410 
    0     96     63     73      0      0      0      0      0      0   1512   1410 
    0     96     63     73      0      0      0      0      0      0   1512   1410 
    0     96     63     73      0      0      0      0      0      0   1512   1410 
    0     96     63     73      0      0      0      0      0      0   1512   1410 
    0     96     63     73      0      0      0      0      0      0   1512   1410 
    0     96     63     73      0      0      0      0      0      0   1512   1410 
    0     96     64     73      0      0      0      0      0      0   1512   1410 
    0     96     64     73      0      0      0      0      0      0   1512   1410 
    0     96     64     73      0      0      0      0      0      0   1512   1410 
    0     96     64     74      0      0      0      0      0      0   1512   1410 
    0     96     64     74      0      0      0      0      0      0   1512   1410 
    0     96     64     73      0      0      0      0      0      0   1512   1410 
    0     97     64     74     16     16      0      0      0      0   1512   1410 
    0    261     65     75     67     60      0      0      0      0   1512   1410 
    0     96     64     74      0      0      0      0      0      0   1512   1410 
    0     96     64     75      0      0      0      0      0      0   1512   1410 
    0     96     64     75      0      0      0      0      0      0   1512   1410 
    0     96     64     74      0      0      0      0      0      0   1512   1410 
    0     96     64     75      0      0      0      0      0      0   1512   1410 
    0     96     64     75      0      0      0      0      0      0   1512   1410 
    0     96     64     75      0      0      0      0      0      0   1512   1410 
    0     96     64     74      0      0      0      0      0      0   1512   1410 
    0     96     64     75      0      0      0      0      0      0   1512   1410 
    0     96     64     74      0      0      0      0      0      0   1512   1410 
    0     96     64     75      0      0      0      0      0      0   1512   1410 
